Temperature,Luminosity,Infrared,Distance,Label
24.44,26.46,0,193.73,StandBy
24.12,25.88,0,195.05,StandBy
24.44,26.56,0,193.75,StandBy
24.77,25.59,0,195.03,StandBy
24.77,26.46,0,194.58,StandBy
132.4,100,41.31,195.23,Lighter
115,100,43.85,195.19,Lighter
109.52,100,49.22,194.44,Lighter
94.05,100,49.71,193.64,Lighter
96.63,100,45.9,193.11,Lighter
99.53,100,42.97,237.28,Lighter
27.67,73.63,0,193.39,FlashLight
27.67,73.05,0,193.34,FlashLight
27.34,72.95,0,195.93,FlashLight
27.67,75.59,0,193.34,FlashLight
27.34,73.73,0,125.81,FlashLight
27.34,75.29,0,193.44,FlashLight
24.77,11.82,0,400,StandBy
25.09,12.11,0,400,StandBy
25.09,12.01,0,71.82,StandBy
25.09,12.11,0,400,StandBy
25.09,12.01,0,79.72,StandBy
24.77,12.21,0,400,StandBy
25.09,11.33,0,93.64,StandBy
25.09,13.09,0,400,StandBy
25.09,11.91,0,83.75,StandBy
24.44,11.72,0,400,StandBy
25.09,12.11,0,82.12,StandBy
25.09,12.3,0,400,StandBy
25.09,10.94,0,82.69,StandBy
25.41,11.91,0,13.28,StandBy
25.09,11.04,0,400,StandBy
25.41,11.82,0,14.01,StandBy
25.41,11.43,0,400,StandBy
25.41,11.33,0,14.38,StandBy
25.09,11.82,0,400,StandBy
24.77,10.74,0,6.13,StandBy
25.41,9.28,0,93.85,StandBy
24.77,11.91,0,400,StandBy
25.09,11.91,0,83.96,StandBy
25.09,12.11,0,92.82,StandBy
25.09,12.11,0,400,StandBy
25.09,11.82,0,77.05,StandBy
25.09,12.11,0,400,StandBy
25.09,12.6,0,76.37,StandBy
25.09,11.91,0,400,StandBy
25.09,11.13,0,77.03,StandBy
25.09,12.11,0,400,StandBy
25.09,11.91,0,400,StandBy
25.09,13.18,0,400,StandBy
25.09,11.91,0,77.33,StandBy
24.77,12.5,0,400,StandBy
24.77,12.3,0,79.42,StandBy
25.09,12.4,0,400,StandBy
25.09,11.91,0,76.89,StandBy
25.09,12.11,0,400,StandBy
25.09,12.3,0,86.1,StandBy
24.77,13.48,0,90.42,StandBy
25.09,12.11,0,400,StandBy
25.09,12.21,0,90.17,StandBy
24.77,12.4,0,400,StandBy
24.77,11.43,0,88.91,StandBy
25.09,12.99,0,97.13,StandBy
25.09,12.3,0,400,StandBy
25.09,12.11,0,73.87,StandBy
25.09,12.3,0,400,StandBy
25.09,12.21,0,91.58,StandBy
25.09,12.11,0,400,StandBy
25.09,12.01,0,90.06,StandBy
25.09,12.3,0,96.48,StandBy
25.09,12.21,0,96.35,StandBy
25.09,12.4,0,400,StandBy
25.09,12.01,0,79.96,StandBy
24.44,12.4,0,400,StandBy
24.77,12.5,0,82.07,StandBy
25.09,12.6,0,89.71,StandBy
25.09,12.5,0,400,StandBy
24.77,12.5,0,60.24,StandBy
24.77,17.48,0,400,StandBy
24.77,8.2,0,70.65,StandBy
25.09,12.4,0,400,StandBy
25.09,12.79,0,88.81,StandBy
25.09,12.6,0,400,StandBy
25.09,12.3,0,88.66,StandBy
24.77,12.6,0,91.63,StandBy
24.44,12.6,0,89.11,StandBy
24.77,14.06,0,97.01,StandBy
24.77,13.96,0,89.89,StandBy
25.09,12.89,0,88.66,StandBy
